,Game,Copies Sold,Release Date,Genre,Developer,Publisher
0,Marvel's Spider-Man,20million,"September 7, 2018",Action-adventure,Insomniac Games,Sony Interactive Entertainment
1,Grand Theft Auto V,20million,"November 18, 2014",Action-adventure,Rockstar North,Rockstar Games
2,God of War,19.5million,"April 20, 2018",Action-adventurehack and slash,Santa Monica Studio,Sony Interactive Entertainment
3,Uncharted 4: A Thief's End,16million,"May 10, 2016",Action-adventure,Naughty Dog,Sony Interactive Entertainment
4,Gran Turismo Sport,12.72million,"October 17, 2017",Racing,Polyphony Digital,Sony Interactive Entertainment
5,The Witcher 3: Wild Hunt,10.8million,"May 18, 2015",Action role-playing,CD Projekt Red,CD Projekt
6,The Last of Us Part II,10million,"June 19, 2020",Action-adventuresurvival horror,Naughty Dog,Sony Interactive Entertainment
7,Horizon Zero Dawn,10million,"February 28, 2017",Action role-playing,Guerrilla Games,Sony Interactive Entertainment
8,The Last of Us Remastered,10million,"July 29, 2014",Action-adventuresurvival horror,Naughty Dog,Sony Computer Entertainment
9,Ghost of Tsushima,9.73million,"July 17, 2020",Action-adventurestealth,Sucker Punch Productions,Sony Interactive Entertainment
10,Star Wars Battlefront,8.42million,"November 17, 2015",First-person shooterthird-person shooter,EA DICE,Electronic Arts
11,Bloodborne,7.46 million,"March 24, 2015",Action role-playing,FromSoftware,Sony Computer Entertainment
12,Days Gone,7.32 milllion,"April 26, 2019",Action-adventure,Bend Studio,Sony Interactive Entertainment
13,Ratchet & Clank,7million,"April 12, 2016","Third-person shooter,Platformer",Insomniac Games,Sony Interactive Entertainment
14,Infamous Second Son,6million,"March 21, 2014",Action-adventure,Sucker Punch Productions,Sony Computer Entertainment
15,Detroit: Become Human,5.5million,"May 25, 2018",Adventure,Quantic Dream,Sony Interactive Entertainment
16,Final Fantasy VII Remake,5million,"April 10, 2020",Action role-playing,Square Enix,Square Enix
17,Monster Hunter: World,4.67million,"January 26, 2018",Action role-playing,Capcom,Capcom
18,Cyberpunk 2077,3.83million,"December 10, 2020",Action role-playing,CD Projekt Red,CD Projekt
19,FIFA 17,3.12million,"September 27, 2016",Sports,EA CanadaEA Bucharest,EA Sports
20,Nier: Automata,2.6million,"February 23, 2017",Action role-playing,PlatinumGames,Square Enix
21,Crash Bandicoot N. Sane Trilogy,2.5million,"June 30, 2017",Platform,Vicarious Visions,Activision
22,Final Fantasy XV,2.5million,"November 29, 2016",Action role-playing,Square Enix Business Division 2,Square Enix
23,FIFA 18,2.47million,"September 29, 2017",Sports,EA CanadaEA Bucharest,EA Sports
24,Persona 5 Royal,2.3million,"October 31, 2019",Role-playingsocial simulation,P-Studio,Atlus
25,Killzone: Shadow Fall,2.1million,"November 15, 2013",First-person shooter,Guerrilla Games,Sony Computer Entertainment
26,Driveclub,2million,"October 7, 2014",Racing,Evolution Studios,Sony Computer Entertainment
27,Knack,2million,"November 15, 2013",Platformbeat 'em up,Japan Studio,Sony Computer Entertainment
28,Minecraft: PlayStation 4 Edition,2million,"September 4, 2014",Sandboxsurvival,4J Studios,Sony Computer Entertainment
29,FIFA 20,1.76million,"September 24, 2019",Sports,EA CanadaEA Bucharest,EA Sports
30,Nioh 2,1.46million,"March 12, 2020",Action role-playing,Team Ninja,WW:Sony Interactive EntertainmentJP:Koei Tecmo
31,FIFA 19,1.45million,"September 25, 2018",Sports,EA CanadaEA Bucharest,EA Sports
32,Battlefield 1,1.3million,"October 21, 2016",First-person shooter,EA DICE,Electronic Arts
33,Dragon Quest XI: Echoes of an Elusive Age,1.3million,"July 29, 2017",Role-playing,Square Enix,Square Enix
34,Final Fantasy XII: The Zodiac Age,1.2million,"July 11, 2017",Role-playing,Square Enix,Square Enix
35,FIFA 22,1.16million,"October 1, 2021",Sports,EA CanadaEA Bucharest,EA Sports
36,FIFA 21,1.12million,"October 9, 2020",Sports,EA CanadaEA Bucharest,EA Sports
37,Metal Gear Solid V: The Phantom Pain,1.1million,"September 1, 2015",Action-adventurestealth,Kojima Productions,Konami
38,Kingdom Hearts III,1million,"January 25, 2019",Action role-playing,Square Enix,Square Enix
39,Nioh,1million,"February 7, 2017",Action role-playing,Team Ninja,WW:Sony Interactive EntertainmentJP:Koei Tecmo
